Agent,Synonyms
Attapulgite (see Palygorskite),['<no synonym>']
"Palygorskite (Attapulgite) (long fibres, > 5 micrometres)",['<no synonym>']
"Palygorskite (Attapulgite)(short fibres, < 5 micrometres)",['<no synonym>']
Aurothioglucose,"['Gold thioglucose', 'Gold thioglucose', 'Thioglucose gold', 'Gold thioglucose', 'Thioglucose gold', 'Aurothioglucose', 'Solganal']"
Simazine,"['2-Chloro-4', '6-bis(ethylamino)-s-triazine', '2-Chloro-4', '6-bis(ethylamino)-1', '3', '5-triazine', 'Gesatop', 'Simazin', 'Princep', 'Aquazine']"
Diphenylamine,"['DPA', 'N-Phenylaniline', 'Diphenylazane', 'N-Phenylbenzenamine', 'Big Secret', 'Difenylamin']"
Propham,"['Isopropyl carbanilate', 'Isopropyl phenylcarbamate', 'Carbanilic acid isopropyl ester', 'Tuberite', 'I.P.C.', 'IPC', 'Iso prophenyl carbamate']"
Phenyl glycidyl ether,"['PGE', '1', '2-Epoxy-3-phenoxypropane', 'Glycidyl phenyl ether', '(Phenoxymethyl)oxirane', 'Oxirane', '(phenoxymethyl)-', 'Phenyl 2', '3-epoxypropyl ether']"
"1,2-Diphenylhydrazine","['Hydrazobenzene', 'N', ""N'-Diphenylhydrazine"", '1', '2-Diphenylhydrazine', 'Diphenylhydrazine', 'Hydrazine', '1', '2-diphenyl-']"
Rosiglitazone,"['Avandia', 'BRL-49653', '(±)-5-[[4-[2-(Methyl-2-pyridinylamino)ethoxy]phenyl]methyl]-2', '4-thiazolidinedione']"
Hydroquinone,"['Quinol', '1', '4-Dihydroxybenzene', 'p-Dihydroxybenzene', 'Benzohydroquinone', 'p-Benzenediol', 'Hydroquinol', 'Aida']"
Maleic hydrazide,"['6-Hydroxy-3(2H)-pyridazinone', '1', '2-Dihydropyridazine-3', '6-dione', 'MH', 'Retard', 'Royal MH-30', 'Slo-Gro']"
β-Myrcene,"['Myrcene', '7-Methyl-3-methylene-1', '6-octadiene', 'beta-Myrcene', 'beta-Myrcene', '2-Methyl-6-methylene-2', '7-octadiene', '2-Methyl-6-methyleneocta-1', '7-diene']"
"1,4-Dioxane","['Dioxane', 'Diethylene dioxide', '1', '4-Dioxan', 'p-Dioxane', 'Diethylene ether', 'Glycol ethylene ether']"
Chlorodibromomethane,"['Dibromochloromethane', 'Methane', 'chlorodibromo-', 'Chlorodibromomethane', 'Halon 102', 'CDBM']"
Methylarsonic acid,"['MAA', 'Monomethylarsonic acid', 'Arsonic acid', 'methyl-', 'Methylarsonate', 'Monomethyl arsonate', 'MSMA Metabolite']"
Monomethylarsonic acid (see Methylarsonic acid),['<no synonym>']
Maneb,"['Mancozeb', 'Maneba', 'Rhodiasan', 'Dithane M-22', 'Dithane M 22', 'Manesan', 'MEB']"
Primidone,"['Mysoline', '2-Desoxyphenobarbital', '2-Deoxyphenobarbital', 'Lepsedan', 'Hexamidin', 'Mylepsin']"
Griseofulvin,"['Fulvicin', 'Grifulvin', 'Grisovin', 'Grisactin', 'Sporostatin', 'Lamoryl', 'Fulcin', 'Fungistatin']"
"Tris(2,3-dibromopropyl) phosphate","['Tris(dibromopropyl) phosphate', 'Tris(2', '3-dibromopropyl)phosphate', 'Fyrol FR2', 'TDBP', 'Flame retardant TRIS', 'NSC 25752']"
Nitrogen mustard N-oxide,"['Chlorethazine', 'N-Oxide of tris(2-chloroethyl)amine', 'Tri(2-chloroethyl)amine N-oxide', 'HN3O']"
Chloroprene,"['2-Chloro-1', '3-butadiene', 'beta-Chloroprene', 'Chlorobutadiene', 'Chloropren', 'Butadiene', '2-chloro-1', '3-']"
Cyclochlorotine,"['NSC 53344', 'Cyclochlorotine', '1', '4-Dihydro-3-[[4-(aminoiminomethyl)phenyl]methyl]-6-(1-hydroxyethyl)-7', '8-dichloro-1-methyl-1H-2-benzopyran-5-carboxylic acid']"
Hydroxyurea,"['Hydroxycarbamide', 'HU', 'NSC-32065', 'Hydrea', 'Litalir', 'Droxia']"
Tetrachloroethylene (Perchloroethylene),"['Perc', 'Perchloroethylene', 'Tetrachloroethene', '1', '1', '2', '2-Tetrachloroethylene', 'Perklone', 'Ankilostin', 'Didakene']"
"N,N-Dimethylacetamide","['DMAc', 'DMAC', 'Dimethylacetamide', 'Acetic acid dimethylamide', 'N', 'N-Dimethyl ethanamide', 'Dimethylamide acetate']"
Sulfafurazole (Sulfisoxazole),"['Gantrisin', 'Sulfisoxazole', 'Sulfafurazole', 'Sulfisoxazol', 'Sulfazin', 'Sulphafurazole']"
Butylated hydroxytoluene (BHT),"['BHT', '2', '6-Di-tert-butyl-p-cresol', '2', '6-Di-tert-butyl-4-methylphenol', 'DBPC', 'Embalming fluid', 'methyl-', 'Ionol']"
Vat Yellow 4,"['Flavanthrone', 'C.I. Vat Yellow 4', 'C.I. 70600', 'Flavanthren', 'Flavanthrene', 'Indanthrene Yellow G']"
Pyrene,"['Benzo[def]phenanthrene', 'Pyren']"
2-Methyl-1-nitroanthraquinone (uncertain purity),['<no synonym>']
Blue VRS,"['Acid Blue 9', 'FD&C Blue No. 1', 'C.I. 42090', 'Erioglaucine', 'Patent Blue V', 'Alphazurine FG']"
Oxyphenbutazone,"['Tanderil', 'Oxyphenbutazone', '4-Butyl-1-(p-hydroxyphenyl)-2-phenyl-3', '5-pyrazolidinedione', 'Hydroxyphenylbutazone', '4-(beta-Hydroxyethyl)-phenylbutazone']"
1-Hydroxyanthraquinone,"['1-Hydroxy-9', '10-anthracenedione', '1-Hydroxy-9', '10-anthraquinone', '1-Hydroxy-anthraquinone']"
Leucomalachite green (see also Malachite green),['<no synonym>']
1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU) (Lomustine),"['CCNU', 'Lomustine', 'CeeNU', 'Belustine', '1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea']"
Gallium arsenide (see Arsenic and inorganic arsenic compounds),['<no synonym>']
Medphalan,"['CB 1364', 'NSC 14210', 'p-Bis(2-chloroethylamino)-L-phenylalanine', 'p-Di(2-chloroethyl)amino-L-phenylalanine', 'Sarcolysine', 'p-(Di-2-chloroethylamino)-L-phenylalanine']"
Cobalt(II) oxide,"['Cobaltous oxide', 'Cobalt oxide', 'Cobalt monooxide', 'Cobalt monoxide', 'Black cobalt oxide']"
"Cobalt(II,III) oxide","['Tricobalt tetraoxide', 'Cobalt tetroxide', 'Dicobalt trioxide', 'Cobalt oxide', 'C.I. 77346']"
Ferric oxide,"['Iron oxide', 'Hematite', 'Red iron oxide', 'Iron(III) oxide', 'C.I. 77491', 'Rouge']"
"Antimony trioxide, see Trivalent antimony","['Antimony oxide', 'Antimony sesquioxide', 'Flowers of antimony', 'Antimony white', 'C.I. Pigment White 11', 'Diantimony trioxide', 'Valentinite']"
Yellow OB,"['1-o-Tolylazo-2-naphthylamine', 'Oil Yellow AB', 'C.I. Solvent Yellow 5', 'C.I. 11380', ""2'"", '3-Dimethyl-4-aminoazobenzene', ""2-Amino-2'"", '3-dimethylazobenzene']"
Molybdenum trioxide,"['Molybdic acid anhydride', 'Molybdenum oxide', 'Molybdenum(VI) oxide', 'Molybdenum trioxide', 'Molybdite', 'Molybdic anhydride']"
Vanadium pentoxide,"['Vanadic anhydride', 'Vanadium oxide', 'Vanadium(V) oxide', 'Pentavanadium decaoxide', 'Divanadium pentoxide']"
Cobalt(II) sulfide,"['Cobalt sulfide', 'Cobalt monosulfide', 'Cobaltous sulfide', 'Cobalt sulphide']"
Haematite,"['Hematite', 'Red iron ore', 'Bloodstone', 'Kidney ore', 'Iron sesquioxide', 'Red hematite']"
"Zeolites other than erionite (clinoptilolite, phillipsite,mordenite, non-fibrous Japanese zeolite, synthetic zeolites)",['<no synonym>']
Sodium ortho-phenylphenate,"['Sodium o-phenylphenate', 'SOPP', 'Dowicide A', 'Sodium o-phenylphenolate', 'Orthophenylphenol sodium salt', 'Topane WS']"
Dibenzothiophene,"['Thianthrene', 'Dibenzo[b', 'd]thiophene', 'Dibenzothiophene']"
Radium-224 and its decay products,['<no synonym>']
N-Nitrososarcosine,"['N-Methyl-N-nitroso glycine', 'N-Nitrososarcosin', 'N-Methyl-N-nitrosoglycine']"
Rifampicin,"['Rifampin', 'Rimactane', 'Rifadin', 'Rifamycin AMP', 'Ro 4-7038']"
Captan,"['N-(Trichloromethylthio)cyclohex-4-ene-1', '2-dicarboximide', 'N-(Trichloromethylthio)phthalimide', 'N-(Trichloromethylthio)cyclohexene-1', '2-dicarboximide', 'Esso fungicide 406', 'Merpan', 'Orthocide 406']"
Xylenes,"['Dimethylbenzene', 'Xylol', 'Methyltoluene']"
"Asbestos (all forms, including actinolite, amosite, anthophyllite, chrysotile, crocidolite, tremolite)",['<no synonym>']
Carbon black,"['Acetylene black', 'Channel black', 'Furnace black', 'Lamp black', 'Thermal black', 'Pigment black 7']"
Polychlorinated biphenyls,"['PCBs', 'Chlorinated biphenyl', 'Aroclor', 'Clophen', 'Kanechlor']"
Iron sorbitol-citric acid complex,"['Jectofer', 'Iron sorbitex']"
ortho-Anisidine hydrochloride (see also ortho-Anisidine),"['o-Anisidine hydrochloride', '2-Methoxyaniline hydrochloride', '2-Aminoanisole hydrochloride']"
1-Naphthylamine,"['alpha-Naphthylamine', 'Naphthalidine', 'Naphthylamine', '1-Aminonaphthalene', '<no synonym>.']"
Human papillomavirus (HPV) type 16,"['HPV16', 'HPV type 16', 'High-risk HPV 16', 'HR-HPV 16', 'HPV serotype 16', 'Papillomavirus 16', 'Human wart virus 16', 'Cervical cancer HPV 16', 'Genital HPV 16', 'Anogenital HPV 16', 'HPV-16 infection', 'Squamous cell carcinoma HPV 16', 'Oropharyngeal cancer HPV 16', 'HPV subtype 16', 'DNA virus 16']"
Human papillomavirus (HPV) type 18,"['HPV18', 'HPV type 18', 'High-risk HPV 18', 'HR-HPV 18', 'HPV serotype 18', 'Papillomavirus 18', 'Human wart virus 18', 'Cervical cancer HPV 18', 'Genital HPV 18', 'Anogenital HPV 18', 'HPV-18 infection', 'Squamous cell carcinoma HPV 18', 'Adenocarcinoma HPV 18', 'HPV subtype 18', 'DNA virus 18']"
Human papillomavirus (HPV) type 33,"['HPV33', 'HPV type 33', 'High-risk HPV 33', 'HR-HPV 33', 'HPV serotype 33', 'Papillomavirus 33', 'Human wart virus 33', 'Cervical cancer HPV 33', 'Genital HPV 33', 'Anogenital HPV 33', 'HPV-33 infection', 'Squamous cell carcinoma HPV 33', 'CIN 3 HPV 33', 'HPV subtype 33', 'DNA virus 33']"
Human papillomavirus (HPV) type 68,"['HPV68', 'HPV type 68', 'High-risk HPV 68', 'HR-HPV 68', 'HPV serotype 68', 'Papillomavirus 68', 'Human wart virus 68', 'Cervical cancer HPV 68', 'Genital HPV 68', 'Anogenital HPV 68', 'HPV-68 infection', 'Squamous cell carcinoma HPV 68', 'HPV subtype 68', 'Alpha-9 HPV 68', 'DNA virus 68']"
"Human papillomavirus (HPV) types 31, 35, 39, 45, 51, 52, 56, 58, 59","['High-risk HPV types', 'HR-HPV types', 'Carcinogenic HPV types', 'Cervical cancer HPV types', 'Anogenital HPV types', 'HPV infection types', 'HPV subtypes', 'DNA virus types', 'HPV types 31', '35', '39', '45', '51', '52', '56', '58', '59', 'HPV types associated with cancer', 'HPV types causing dysplasia', 'HPV types linked to malignancy', 'Multiple HPV infections', 'Genital wart HPV types', 'Papillomavirus types 31', '35', '39', '45', '51', '52', '56', '58', '59']"
"Human papillomavirus (HPV) types 26, 53, 66, 67, 70, 73, 82","['Probable high-risk HPV types', 'Possible carcinogenic HPV types', 'HPV types of uncertain risk', 'HPV types', 'Low-risk HPV types', 'Potential HR-HPV types', 'HPV infection types', 'HPV subtypes', 'DNA virus types', 'HPV types 26', '53', '66', '67', '70', '73', '82', 'HPV types associated with dysplasia', 'HPV types linked to malignancy', 'Multiple HPV infections', 'Genital wart HPV types', 'Papillomavirus types 26', '53', '66', '67', '70', '73', '82']"
"Human papillomavirus (HPV) types 30, 34, 69, 85, 97",['<no synonym>']
Human papillomavirus (HPV) types 5 and 8 (in patients with epidermodysplasia verruciformis),"['EV-associated HPV types', 'HPV in EV patients', 'HPV linked to skin cancer', 'Rare HPV types', 'HPV associated with epidermodysplasia verruciformis', 'Beta HPV types', 'Cutaneous HPV types', 'Wart virus types in EV', 'HPV types 5 and 8', 'Viral infection in EV', 'HPV subtypes in EV', 'EV-HPV 5 and 8', 'Epidermodysplasia verruciformis papillomavirus', 'Skin wart virus types', 'Genetic susceptibility to HPV']"
Human papillomavirus (HPV) types 6 and 11,"['Low-risk HPV types', 'LR-HPV types', 'Genital wart HPV types', 'HPV types', 'HPV associated with warts', 'HPV 6 and 11', 'Benign HPV types', 'Non-cancerous HPV types', 'Anogenital wart HPV types', 'HPV infection types', 'HPV subtypes', 'DNA virus types', 'HPV types 6 and 11', 'Condyloma acuminata HPV', 'Papillomavirus types 6 and 11']"
Hypochlorite salts,"['Bleach', 'Sodium hypochlorite', 'Calcium hypochlorite', 'Chlorinated compounds', 'Disinfectants', 'Oxidizing agents', 'Sanitizers', 'Chlorinating agents', 'Hypochlorites', 'Hypochlorite solutions', 'Chlorine bleach', 'Laundry bleach', 'Pool chlorine', 'Water disinfectants', 'Chlorinating granules']"
"Implanted foreign bodies of metallic chromium or titanium and of cobalt-based, chromium-based, and titanium-based alloys, and stainless steel","['Metal implants', 'Surgical implants', 'Orthopedic implants', 'Biomedical implants', 'Metal alloy implants', 'Chromium implants', 'Titanium implants', 'Cobalt-based alloy implants', 'Chromium-based alloy implants', 'Titanium-based alloy implants', 'Stainless steel implants', 'Metallic foreign bodies', 'Implant materials', 'Implantable devices', 'Biocompatible metals']"
"Implanted foreign bodies of metallic cobalt, metallic nickel and an alloy powder containing 66-67% nickel, 13-16% chromium, and 7% iron","['Metal implants', 'Surgical implants', 'Orthopedic implants', 'Biomedical implants', 'Metallic cobalt implants', 'Metallic nickel implants', 'Nickel-chromium-iron alloy implants', 'Implant materials', 'Implantable devices', 'Biocompatible metals', 'Cobalt implants', 'Nickel implants', 'Metal alloy implants', 'Metal powder implants', 'Foreign body implants']"
Insulation glass wool,"['Glass fiber insulation', 'Fiberglass insulation', 'Mineral wool insulation', 'Man-made vitreous fiber (MMVF)', 'Synthetic vitreous fiber (SVF)', 'Glass wool', 'Building insulation', 'Thermal insulation', 'Acoustic insulation', 'Insulation material', 'Fiber glass', 'Glass fibers', 'Insulation batt', 'Insulation roll', 'Loose-fill insulation']"
"Involuntary smoking (see Tobacco smoke, secondhand)","['Secondhand smoke', 'Passive smoking', 'Environmental tobacco smoke (ETS)', 'Side-stream smoke', 'Tobacco smoke exposure', 'Smoke inhalation', 'Exposure to tobacco smoke', 'Breathing in smoke', 'Inhaling tobacco smoke', 'Unintentional smoking', 'Smoke from others', 'Non-smoker exposure', 'Public smoking', 'Smoke from cigarettes', 'Tobacco byproduct inhalation']"
Ionizing radiation (all types),"['Radiation', 'Alpha radiation', 'Beta radiation', 'Gamma radiation', 'X-rays', 'Particle radiation', 'Electromagnetic radiation', 'High-energy radiation', 'Nuclear radiation', 'Radioactive radiation', 'Radiation exposure', 'Radiation effects', 'Radiation hazards', 'Radiation risks', 'Radiation source']"
Iron and steel founding (occupational exposure during),"['Metal casting', 'Iron founding', 'Steel founding', 'Foundry work', 'Metalworking', 'Metal casting industry', 'Iron production', 'Steel production', 'Metal industry', 'Casting process', 'Foundry industry', 'Metal processing', 'Metal smelting', 'Metal fabrication', 'Industrial exposure']"
Isopropyl alcohol manufacture using strong acids,"['IPA production', 'Isopropanol manufacturing', 'Chemical manufacturing', 'Alcohol production', 'Propyl alcohol production', 'Industrial chemical production', 'Chemical synthesis', 'Petrochemical industry', 'Industrial process', 'Acid-catalyzed reaction', 'Strong acid process', 'Isopropyl alcohol synthesis', 'Industrial manufacturing', 'Chemical plant', 'Petrochemical synthesis']"
Isopropyl oils,"['Isopropanol oils', 'Propyl oils', 'Refined petroleum oils', 'Mineral oils', 'Industrial oils', 'Lubricating oils', 'Cutting oils', 'Machine oils', 'Technical white oils', 'Process oils', 'Aliphatic oils', 'Naphthenic oils', 'Paraffinic oils', 'White oils', 'Petroleum distillates']"
JC polyomavirus (JCV),"['John Cunningham virus', 'JCV', 'Progressive multifocal leukoencephalopathy (PML) virus', 'Human polyomavirus 2', 'HPyV-2', 'Polyomavirus JC', 'JCV virus', 'PML-associated virus', 'Human polyomavirus', 'Neurotropic polyomavirus', 'JC virus infection', 'PML virus', 'Viral demyelination', 'Immunodeficiency virus', 'Opportunistic virus']"
Jet fuel,"['Aviation fuel', 'Jet propellant', 'Kerosene-based fuel', 'Turbine fuel', 'Aviation kerosene', 'JP fuel', 'Fuel for jet engines', 'Aircraft fuel', 'Fuel for airplanes', 'Jet A', 'Jet A-1', 'JP-4', 'JP-5', 'Aviation gasoline', 'Turbine engine fuel']"
Kaposi sarcoma herpesvirus,"['KSHV', 'Human herpesvirus 8 (HHV-8)', 'HHV-8', ""Kaposi's sarcoma-associated herpesvirus"", 'KS herpesvirus', 'Herpesvirus 8', 'Human herpesvirus type 8', 'Viral oncogene', ""Viral etiology of Kaposi's sarcoma"", 'Sarcoma-associated virus', 'Herpesviridae', 'Gammaherpesvirinae', 'Oncogenic herpesvirus', 'DNA tumor virus', 'Human tumor virus']"
"Lead compounds, inorganic","['Inorganic lead', 'Lead salts', 'Lead oxides', 'Lead carbonates', 'Lead sulfates', 'Lead chromates', 'Lead phosphates', 'Metallic lead', 'Lead-based pigments', 'Lead dust', 'Lead fumes', 'Lead particles', 'Lead exposure', 'Toxic metals', 'Environmental lead']"
"Lead compounds, organic","['Organic lead', 'Tetraethyl lead (TEL)', 'Tetramethyl lead (TML)', 'Alkyl lead compounds', 'Organolead compounds', 'Lead additives', 'Lead antiknock agents', 'Lead-containing gasoline', 'Fuel additives', 'Lead exposure', 'Toxic metals', 'Environmental lead', 'Lead poisoning', 'Neurotoxic compounds', 'Organometallic compounds']"
Leather dust,"['Leather particles', 'Leather shavings', 'Leather fibers', 'Leather scraps', 'Leather waste', 'Leather residue', 'Airborne leather particles', 'Leather industry dust', 'Tannery dust', 'Occupational dust', 'Industrial dust', 'Particulate matter', 'Inhalable dust', 'Respirable dust', 'Irritant dust']"
Leather goods manufacture (see also Leather dust),"['Leather production', 'Leather processing', 'Leather crafting', 'Leather manufacturing', 'Leatherwork', 'Leather industry', 'Tannery', 'Leather fabrication', 'Leather products', 'Shoe manufacturing', 'Leather garment production', 'Leather accessory production', 'Leather upholstery', 'Leather finishing', 'Leather treatment']"
Leather tanning and processing,"['Leather treatment', 'Leather curing', 'Leather preparation', 'Leather dressing', 'Hide processing', 'Skin processing', 'Tannery operations', 'Chrome tanning', 'Vegetable tanning', 'Leather dyeing', 'Leather finishing', 'Leather industry', 'Tannin extraction', 'Hide preservation', 'Leather production']"
Lumber and sawmill industries (including logging),"['Forestry', 'Woodworking', 'Timber industry', 'Logging industry', 'Sawmilling', 'Wood processing', 'Forest industry', 'Lumber production', 'Wood manufacturing', 'Timber harvesting', 'Tree felling', 'Wood cutting', 'Wood milling', 'Wood production', 'Timber processing']"
MOPP and other combined chemotherapy including alkylating agents,"['Multi-agent chemotherapy', 'Combination chemotherapy', 'Cancer chemotherapy', 'Alkylating agent therapy', 'MOPP regimen', 'Nitrogen mustard therapy', 'Vincristine therapy', 'Procarbazine therapy', 'Prednisone therapy', 'Anticancer drugs', 'Cytotoxic drugs', 'Chemotherapy treatment', 'Cancer treatment', 'Medical treatment', 'Therapeutic agents']"
Madder root (Rubia tinctorum),"[""Dyer's madder"", 'Rose madder', 'Common madder', 'Rubia tinctoria', 'Red dye', 'Natural dye', 'Textile dye', 'Pigment', 'Alizarin', 'Ruberythric acid', 'Plant extract', 'Herbal dye', 'Root dye', 'Red colorant', 'Natural colorant']"
Magenta production,"['Red dye manufacturing', 'Azo dye production', 'Synthetic dye production', 'Aniline dye production', 'Coal tar dye production', 'Chemical dye manufacturing', 'Colorant production', 'Dye industry', 'Pigment production', 'Red color manufacturing', 'Chemical synthesis', 'Industrial manufacturing', 'Chemical plant', 'Aromatic amine dyes', 'Textile dye production']"
"Magnetic fields, extremely low-frequency","['ELF magnetic fields', 'ELF-MF', 'Low-frequency magnetic fields', 'Power frequency magnetic fields', '50/60 Hz magnetic fields', 'Electromagnetic fields (ELF)', 'Extremely low frequency EMF', 'Non-ionizing radiation', 'Power line magnetic fields', 'Electrical fields', 'Environmental magnetic fields', 'Household magnetic fields', 'Occupational magnetic fields', 'Magnetic field exposure', 'Field strength']"
"Magnetic fields, static","['DC magnetic fields', 'Constant magnetic fields', 'Stationary magnetic fields', 'Unchanging magnetic fields', 'Time-invariant magnetic fields', 'Geomagnetic fields', ""Earth's magnetic field"", 'Permanent magnet fields', 'MRI magnetic fields', 'Nuclear magnetic resonance fields', 'Static EMF', 'Direct current EMF', 'Magnetic field exposure', 'Field strength', 'Tesla fields']"
Malaria (caused by infection with Plasmodium falciparum in holoendemic areas),"['P. falciparum malaria', 'Falciparum malaria', 'Tropical malaria', 'Endemic malaria', 'Hyperendemic malaria', 'Malaria infection', 'Plasmodium infection', 'Mosquito-borne disease', 'Parasitic infection', 'Tropical disease', 'Protozoal infection', 'Vector-borne illness', 'Infectious disease', 'Disease in holoendemic areas', 'Malaria in Africa']"
"Mate, hot (see Very hot beverages)","['Hot yerba mate', 'Scalding mate', 'High-temperature mate', 'Very hot tea-like beverage', 'Hot infused drink', 'Hot herbal infusion', 'Traditional South American drink', 'Hot beverage', 'Hot infusion', 'Hot tea substitute', 'Hot caffeinated drink', 'Hot herbal drink', 'Hot South American tea', 'Hot steeped drink', 'Hot steeped beverage']"
"Mate, not very hot (drinking)","['Warm yerba mate', 'Moderately hot mate', 'Mildly heated mate', 'Warm tea-like beverage', 'Warm infused drink', 'Warm herbal infusion', 'Traditional South American drink (warm)', 'Warm beverage', 'Warm infusion', 'Warm tea substitute', 'Warm caffeinated drink', 'Warm herbal drink', 'Warm South American tea', 'Warm steeped drink', 'Warm steeped beverage']"
Merkel cell polyomavirus (MCV),"['MCPyV', 'MCV', 'Human polyomavirus 5', 'HPyV-5', 'Polyomavirus MCV', 'MCV virus', 'Merkel cell carcinoma virus', 'Human polyomavirus', 'Skin cancer virus', 'Small DNA tumor virus', 'Merkel cell virus infection', 'Viral oncogenesis', 'Immunodeficiency virus', 'Tumor virus', 'Viral skin cancer']"
Metabisulfites,"['Disulfites', 'Pyrosulfites', 'Sodium metabisulfite', 'Potassium metabisulfite', 'Sulfite preservatives', 'Food preservatives', 'Wine preservatives', 'Antioxidants', 'Reducing agents', 'Sulfiting agents', 'Chemical preservatives', 'Sulfur compounds', 'Sodium salts', 'Potassium salts', 'Food additives']"
Metallic implants prepared as thin smooth films,"['Thin film implants', 'Smooth surface implants', 'Metal films', 'Metal implants', 'Surgical implants', 'Orthopedic implants', 'Biomedical implants', 'Medical devices', 'Implant materials', 'Implantable devices', 'Biocompatible metals', 'Metal coatings', 'Thin metal layers', 'Smooth metal surfaces', 'Polished metal implants']"
Methylmercury compounds,"['Organic mercury', 'MeHg', 'Methyl mercury', 'Methylmercuric chloride', 'Methylmercuric hydroxide', 'Mercury compounds', 'Neurotoxic compounds', 'Toxic metals', 'Environmental mercury', 'Mercury poisoning', 'Heavy metals', 'Alkylmercury compounds', 'Organometallic compounds', 'Contaminants', 'Environmental toxins']"
"Mineral oils, highly-refined","['Highly processed mineral oils', 'White mineral oils', 'Paraffinic oils', 'Naphthenic oils', 'Isoparaffinic oils', 'Technical white oils', 'Process oils', 'Lubricating oils', 'Cosmetic oils', 'Pharmaceutical oils', 'Food grade mineral oils', 'Highly purified mineral oils', 'Refined petroleum oils', 'Aliphatic oils', 'Mineral oil USP']"
"Mineral oils, untreated or mildly treated","['Crude mineral oils', 'Untreated petroleum oils', 'Mildly refined mineral oils', 'Unprocessed mineral oils', 'Unrefined mineral oils', 'Lubricating oils (untreated)', 'Cutting oils (untreated)', 'Process oils (untreated)', 'Aromatic oils', 'Naphthenic oils (untreated)', 'Paraffinic oils (untreated)', 'Distillate aromatic extracts (DAE)', 'Residual aromatic extracts (RAE)', 'Mineral oil extracts', 'Petroleum extracts']"
Modacrylic fibres,"['Modified acrylic fibers', 'Acrylic copolymer fibers', 'Synthetic fibers', 'Textile fibers', 'Flame-retardant fibers', 'Synthetic textiles', 'Fabric materials', 'Fiber blends', 'Clothing fibers', 'Upholstery fibers', 'Industrial fibers', 'Artificial fibers', 'Chemical fibers', 'Man-made fibers', 'Flame resistant textiles']"
Neutron radiation,"['Neutron particles', 'Nuclear radiation', 'Particle radiation', 'High-energy neutrons', 'Radiation', 'Radioactive radiation', 'Nuclear fission products', 'Nuclear reaction products', 'Radiation exposure', 'Radiation hazards', 'Radiation risks', 'Neutron flux', 'Fast neutrons', 'Thermal neutrons', 'Radiation source']"
Nickel compounds,"['Nickel salts', 'Nickel oxides', 'Nickel sulfides', 'Nickel carbonates', 'Nickel sulfates', 'Nickel chlorides', 'Inorganic nickel', 'Soluble nickel', 'Insoluble nickel', 'Nickel dust', 'Nickel fumes', 'Nickel particles', 'Nickel exposure', 'Metallic nickel', 'Nickel-containing compounds']"
Nickel refining (see Nickel compounds),['<no synonym>']
Night shift work,"['Shift work', 'Night work', 'Rotating shift work', 'Irregular work hours', 'Non-daytime work', 'Evening work', 'Graveyard shift', 'Odd hours work', 'Alternating shifts', 'Midnight shift', 'Work schedule', 'Working at night', 'Non-traditional work hours', 'Off-peak work', 'Irregular schedule']"
Nitrate or nitrite (ingested) under conditions that result in endogenous nitrosation,"['Nitrate ingestion', 'Nitrite ingestion', 'Endogenous nitrosamine formation', 'N-nitroso compounds', 'Nitrate in food', 'Nitrite in food', 'Dietary nitrates', 'Dietary nitrites', 'Gastric nitrosation', 'Salivary nitrosation', 'Nitrate reduction', 'Nitrite reduction', 'Precursors of nitrosamines', 'Nitrosamine production', 'Nitrite conversion']"
Non-arsenical insecticides (occupational exposures in spraying and application of),"['Organophosphate insecticides', 'Carbamate insecticides', 'Pyrethroid insecticides', 'Synthetic insecticides', 'Chemical insecticides', 'Agricultural pesticides', 'Crop protection chemicals', 'Pest control products', 'Insect killers', 'Pesticide application', 'Insecticide spraying', 'Agricultural workers exposure', 'Occupational exposure', 'Pesticide handlers', 'Insecticide applicators']"
Oestrogen (see Estrogen),['<no synonym>']
Opium consumption,"['Opium use', 'Opium intake', 'Opium smoking', 'Opium ingestion', 'Opium addiction', 'Opium abuse', 'Opium dependence', 'Opiate use', 'Narcotic use', 'Traditional medicine use', 'Herbal remedy use', 'Pain relief (historical)', 'Historical drug use', 'Substance abuse', 'Drug consumption']"
"Oral contraceptives, combined estrogen-progestogen (see Estrogen-progestogen oral contraceptives)",['<no synonym>']
Organic polymeric materials,"['Polymers', 'Synthetic polymers', 'Plastics', 'Resins', 'Synthetic resins', 'Polymer materials', 'Organic polymers', 'Plastic materials', 'Polymeric substances', 'Synthetic materials', 'Man-made polymers', 'Polymer compounds', 'Carbon-based polymers', 'Synthetic compounds', 'Organic substances']"
Orthopaedic implants of complex composition and cardiac pacemakers,"['Orthopedic implants', 'Surgical implants', 'Biomedical implants', 'Joint replacements', 'Bone implants', 'Artificial joints', 'Hip implants', 'Knee implants', 'Cardiac pacemakers', 'Heart pacemakers', 'Implantable medical devices', 'Metallic implants', 'Polymer implants', 'Ceramic implants', 'Electronic implants']"
